RUN,2013-04-30,Ran 8.0km in 0:46:00,18
RUN,2013-05-02,Ran 6.1km in 0:32:54,16
RUN,2013-05-05,Ran 22.0km in 2:04:20,32
RUN,2013-05-07,Ran 5.0km in 0:27:54,15
RUN,2013-05-11,Ran 11.8km in 1:02:00,21
RUN,2013-05-14,Ran 6.9km in 0:37:30,16
RUN,2013-05-18,Ran 10.0km in 0:53:02,20
RUN,2013-05-20,Ran 15.1km in 1:29:26,25
RUN,2013-05-23,Ran 8.4km in 0:43:53,18
RACE,2013-05-29,Ran Fornebulopet 5k in 0:22:57,75
RUN,2013-06-04,Ran 9.5km in 0:54:44,19
RUN,2013-06-08,Ran 9.5km in 0:50:18,19
RUN,2013-06-11,Ran 9.5km in 1:00:25,19
RUN,2013-06-15,Ran 18.0km in 1:44:37,28
RUN,2013-06-23,Ran 19.4km in 1:52:46,29
RUN,2013-06-30,Ran 9.6km in 0:55:25,19
RUN,2013-07-02,Ran 7.0km in 0:38:13,17
RUN,2013-07-10,Ran 9.5km in 0:52:00,19
RUN,2013-07-13,Ran 9.6km in 0:57:12,19
RUN,2013-07-16,Ran 9.5km in 0:55:22,19
RUN,2013-07-23,Ran 12.1km in 1:15:53,22
RUN,2013-07-24,Ran 8.0km in 0:46:38,18
RUN,2013-07-25,Ran 9.5km in 0:58:00,19
RUN,2013-07-27,Ran 15.2km in 1:32:23,25
RUN,2013-07-31,Ran 10.0km in 0:55:24,20
RUN,2013-08-04,Ran 18.0km in 1:43:45,28
RUN,2013-08-06,Ran 7.0km in 0:37:26,17
RUN,2013-08-10,Ran 21.1km in 2:02:47,31
RUN,2013-08-25,Ran 9.5km in 0:54:36,19
RUN,2013-08-28,Ran 9.5km in 0:57:00,19
RUN,2013-09-01,Ran 19.4km in 1:57:38,29
RUN,2013-09-03,Ran 9.5km in 1:00:00,19
RUN,2013-09-09,Ran 19.5km in 1:59:04,29
RUN,2013-09-12,Ran 9.5km in 0:56:00,19
RACE,2013-09-21,Ran Oslo HM in 1:59:16,75
RUN,2013-10-05,Ran 9.5km in 1:00:00,19
RUN,2013-10-13,Ran 10.0km in 1:00:00,20
RUN,2013-10-19,Ran 9.5km in 0:57:00,19
RUN,2013-12-22,Ran 10.0km in 1:10:00,20
RUN,2013-12-28,Ran 10.0km in 1:07:00,20
RUN,2014-02-23,Ran 10.0km in 1:11:00,20
RUN,2014-03-11,Ran 10.0km in 1:07:00,20
RUN,2014-03-13,Ran 7.5km in 0:46:00,17
RUN,2014-03-15,Ran 14.6km in 1:33:00,24
RUN,2014-03-18,Ran 10.0km in 1:04:30,20
RUN,2014-03-20,Ran 10.0km in 1:02:10,20
RUN,2014-03-23,Ran 17.0km in 1:44:32,27
RUN,2014-03-25,Ran 10.0km in 1:00:30,20
RUN,2014-03-27,Ran 10.0km in 1:02:42,20
RUN,2014-03-29,Ran 7.0km in 0:39:06,17
RUN,2014-03-30,Ran 15.2km in 1:34:28,25
RUN,2014-04-01,Ran 10.0km in 1:05:58,20
RUN,2014-04-03,Ran 7.0km in 0:42:34,17
RACE,2014-04-05,Ran Holmestrand 10k in 0:51:57,75
RUN,2014-04-07,Ran 9.8km in 0:59:51,19
RUN,2014-04-15,Ran 9.5km in 0:54:20,19
RUN,2014-04-18,Ran 10.0km in 0:57:48,19
RUN,2014-04-19,Ran 15.2km in 1:32:13,25
RUN,2014-04-20,Ran 7.2km in 0:41:00,17
RUN,2014-04-24,Ran 7.0km in 0:40:00,17
RACE,2014-04-26,Ran Sentrumslopet 10k in 0:51:34,75
RUN,2014-05-01,Ran 9.5km in 0:53:50,19
RUN,2014-05-04,Ran 14.6km in 1:21:00,24
RUN,2014-05-10,Ran 1.7km in 0:10:00,11
RUN,2014-06-03,Ran 12.5km in 1:37:19,22
RUN,2014-06-04,Ran 4.5km in 0:27:40,14
RUN,2014-06-06,Ran 11.0km in 1:08:47,21
RUN,2014-06-07,Ran 4.5km in 0:24:58,14
RUN,2014-06-14,Ran 11.2km in 1:07:04,21
RUN,2014-06-15,Ran 5.0km in 0:27:55,15
RUN,2014-06-24,Ran 8.8km in 1:00:00,18
RUN,2014-06-27,Ran 9.5km in 0:55:00,19
RUN,2014-07-22,Ran 9.5km in 1:03:17,19
RUN,2014-07-23,Ran 7.0km in 0:44:26,17
RUN,2014-11-22,Ran 5.5km in 0:41:53,15
RUN,2014-11-23,Ran 5.5km in 0:40:00,15
RUN,2014-11-27,Ran 3.7km in 0:25:02,13
RUN,2014-11-28,Ran 5.7km in 0:40:22,15
RUN,2014-11-30,Ran 5.9km in 0:40:00,15
RUN,2014-12-01,Ran 6.7km in 0:44:46,16
RUN,2014-12-02,Ran 5.3km in 0:40:00,15
RUN,2014-12-05,Ran 6.3km in 0:42:18,16
RUN,2014-12-16,Ran 6.2km in 0:41:27,16
RUN,2014-12-19,Ran 5.4km in 0:40:00,15
RUN,2014-12-28,Ran 6.1km in 0:44:40,16
RUN,2014-12-29,Ran 7.5km in 0:49:16,17
RUN,2015-01-01,Ran 6.4km in 0:43:42,16
RUN,2015-01-02,Ran 7.0km in 0:43:23,17
RUN,2015-01-04,Ran 10.0km in 1:00:06,20
RUN,2015-01-05,Ran 6.0km in 0:45:29,16
RUN,2015-01-06,Ran 3.9km in 0:30:00,13
RUN,2015-01-08,Ran 6.2km in 0:43:45,16
RUN,2015-01-09,Ran 6.3km in 0:42:03,16
RUN,2015-01-10,Ran 6.3km in 0:44:01,16
RUN,2015-01-12,Ran 9.0km in 1:00:08,19
RUN,2015-01-13,Ran 4.0km in 0:29:14,14
RUN,2015-01-15,Ran 6.0km in 0:43:07,16
RUN,2015-01-17,Ran 12.0km in 1:22:04,22
RUN,2015-01-19,Ran 5.0km in 0:33:12,15
RUN,2015-01-20,Ran 7.0km in 0:48:12,17
RUN,2015-01-24,Ran 9.0km in 1:04:21,19
RUN,2015-01-25,Ran 14.0km in 1:29:23,24
RUN,2015-01-26,Ran 7.0km in 0:50:57,17
RUN,2015-01-29,Ran 7.0km in 0:46:17,17
RUN,2015-02-02,Ran 5.0km in 0:39:42,15
RUN,2015-02-03,Ran 7.0km in 0:43:55,17
RUN,2015-02-05,Ran 6.0km in 0:41:13,16
RUN,2015-02-07,Ran 6.0km in 0:41:20,16
RUN,2015-02-08,Ran 15.0km in 1:37:22,25
RUN,2015-02-14,Ran 5.0km in 0:34:01,15
RUN,2015-02-16,Ran 6.0km in 0:39:26,16
RUN,2015-02-19,Ran 6.5km in 0:39:20,16
RUN,2015-02-21,Ran 7.0km in 0:47:28,17
RUN,2015-02-22,Ran 15.0km in 1:31:55,25
RUN,2015-02-24,Ran 6.0km in 0:42:35,16
RUN,2015-02-26,Ran 8.0km in 0:48:06,18
RUN,2015-02-28,Ran 7.0km in 0:46:45,17
RUN,2015-03-01,Ran 16.0km in 1:43:58,26
RUN,2015-03-02,Ran 5.0km in 0:37:57,15
RUN,2015-03-03,Ran 5.0km in 0:30:31,15
RUN,2015-03-05,Ran 8.0km in 0:51:13,18
RUN,2015-03-07,Ran 7.1km in 0:39:18,17
RUN,2015-03-08,Ran 14.3km in 1:24:42,24
RUN,2015-03-16,Ran 5.0km in 0:35:34,15
RUN,2015-03-17,Ran 7.0km in 0:43:12,17
RUN,2015-03-19,Ran 8.0km in 0:47:10,18
RUN,2015-03-21,Ran 8.1km in 0:43:42,18
RUN,2015-03-22,Ran 15.0km in 1:32:25,25
RUN,2015-03-23,Ran 5.0km in 0:33:26,15
RUN,2015-03-24,Ran 9.8km in 0:57:12,19
RUN,2015-03-26,Ran 9.0km in 0:52:08,19
RUN,2015-03-29,Ran 11.1km in 1:03:33,21
RUN,2015-03-31,Ran 10.5km in 0:58:30,20
RUN,2015-04-06,Ran 9.5km in 0:57:00,19
RUN,2015-04-07,Ran 9.0km in 0:52:54,19
RUN,2015-04-09,Ran 11.3km in 1:03:21,21
RACE,2015-04-11,Ran Holmestrand 10k in 0:48:00,75
RUN,2015-04-16,Ran 11.8km in 1:07:31,21
RUN,2015-04-18,Ran 8.0km in 0:42:41,18
RUN,2015-04-19,Ran 14.7km in 1:26:40,24
RUN,2015-04-21,Ran 7.2km in 0:39:48,17
RACE,2015-04-25,Ran Sentrumslopet 10k in 0:47:53,75
RUN,2015-04-28,Ran 9.4km in 0:56:04,19
RUN,2015-05-01,Ran 9.3km in 0:53:18,19
RUN,2015-05-02,Ran 9.5km in 0:56:31,19
RUN,2015-05-04,Ran 5.0km in 0:30:00,15
RUN,2015-05-05,Ran 8.0km in 0:48:00,18
RUN,2015-05-07,Ran 7.0km in 0:42:00,17
RUN,2015-05-09,Ran 1.1km in 0:04:28,11
RUN,2015-05-10,Ran 15.9km in 1:32:42,25
RUN,2015-05-12,Ran 5.0km in 0:30:00,15
RUN,2015-05-14,Ran 9.5km in 0:52:47,19
RUN,2015-06-04,Ran 9.3km in 0:58:15,19
RUN,2015-06-06,Ran 9.5km in 0:55:25,19
RUN,2015-06-09,Ran 9.2km in 0:54:38,19
RUN,2015-06-11,Ran 9.5km in 0:56:47,19
RUN,2015-06-13,Ran 9.5km in 0:54:09,19
RUN,2015-06-16,Ran 9.5km in 0:55:19,19
RUN,2015-06-20,Ran 9.5km in 0:54:27,19
RUN,2015-06-24,Ran 5.7km in 0:36:42,15
RACE,2015-07-12,Ran British 10k in 0:51:48,75
RUN,2015-07-17,Ran 9.5km in 0:55:00,19
RUN,2015-07-21,Ran 9.3km in 0:55:47,19
RUN,2015-07-22,Ran 9.8km in 0:58:31,19
RUN,2015-07-27,Ran 9.4km in 0:52:43,19
RUN,2015-08-03,Ran 10.4km in 1:01:42,20
RUN,2015-08-19,Ran 9.5km in 0:53:47,19
RUN,2015-08-29,Ran 9.5km in 0:51:15,19
RUN,2015-09-06,Ran 20.0km in 2:02:27,30
RACE,2015-09-19,Ran Oslo HM in 2:00:15,75
RUN,2015-10-03,Ran 9.5km in 0:56:51,19
RUN,2015-10-10,Ran 9.5km in 0:56:57,19
RUN,2015-10-13,Ran 5.0km in 0:33:55,15
RUN,2015-10-18,Ran 14.5km in 1:26:50,24
RUN,2015-11-09,Ran 6.0km in 0:41:02,16
RUN,2015-11-22,Ran 7.0km in 0:46:53,17
RUN,2015-11-25,Ran 6.0km in 0:40:02,16
RUN,2016-01-02,Ran 6.5km in 0:43:23,16
RUN,2016-01-05,Ran 6.5km in 0:43:22,16
RUN,2016-01-21,Ran 5.0km in 0:37:41,15
RUN,2016-03-06,Ran 6.0km in 0:40:07,16
RUN,2016-03-13,Ran 6.0km in 0:40:02,16
RACE,2016-04-23,Ran Sentrumslopet 10k in 0:57:47,75
RUN,2016-04-30,Ran 5.0km in 0:33:29,15
RUN,2016-05-01,Ran 4.0km in 0:26:42,14
RUN,2016-05-07,Ran 7.0km in 0:42:27,17
RUN,2016-05-08,Ran 7.0km in 0:44:18,17
RUN,2016-05-10,Ran 9.2km in 1:02:27,19
RUN,2016-05-16,Ran 9.5km in 0:58:35,19
RUN,2016-05-21,Ran 5.0km in 0:28:17,15
RUN,2016-05-31,Ran 5.0km in 0:31:46,15
RUN,2016-06-11,Ran 9.4km in 1:00:06,19
RUN,2016-06-23,Ran 9.5km in 1:02:25,19
RUN,2016-06-24,Ran 7.0km in 0:45:00,17
RUN,2016-07-13,Ran 9.5km in 1:07:00,19
RUN,2016-10-09,Ran 4.0km in 0:30:00,14
RUN,2016-10-10,Ran 4.0km in 0:30:00,14
RUN,2016-10-11,Ran 4.0km in 0:30:00,14
