,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Index
156,21-Aug-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.081
157,22-Aug-2012,Wednesday,10.2,0:57:48,0:05:40,10.59,,,,,,,,,,,,,,,,1.081
158,23-Aug-2012,Thursday,9.4,0:51:46,0:05:30,10.90,,,,,,,,,,,,,,,,1.082
159,24-Aug-2012,Friday,,,,,,,,,,,,,,,,,,,,1.082
160,25-Aug-2012,Saturday,26.2,2:51:36,0:06:32,9.16,,,,,,,,,,,,,,,,1.083
161,26-Aug-2012,Sunday,,,,,,,,,,,,,,,,45.8,,4:41:10,6.13,1.083
162,27-Aug-2012,Monday,7.5,0:43:07,0:05:44,10.44,,,,,,,,,,,,,,,,1.084
163,28-Aug-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.084
164,29-Aug-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.085
165,30-Aug-2012,Thursday,11,0:56:50,0:05:10,11.61,,,,,,,,,,,,,,,,1.085
166,31-Aug-2012,Friday,,,,,,,,,,,,,,,,,167.84,,,1.086
167,1-Sep-2012,Saturday,26.3,2:39:59,0:06:04,9.86,,,,,,,,,,,,,,,,1.087
168,2-Sep-2012,Sunday,,,,,,,,,,,,,,,,44.8,,4:19:56,5.80,1.087
169,3-Sep-2012,Monday,,,,,,,,,,,,,,,,,,,,1.088
170,4-Sep-2012,Tuesday,10,0:52:00,0:05:12,11.54,,,,,,,,,,,,,,,,1.088
171,5-Sep-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.089
172,6-Sep-2012,Thursday,13.2,1:17:13,0:05:50,10.26,,,,,,,,,,,,,,,,1.089
173,7-Sep-2012,Friday,,,,,,,,,,,,,,,,,,,,1.090
174,8-Sep-2012,Saturday,,,,,,,,,,,,,,,,,,,,1.090
175,9-Sep-2012,Sunday,21.1,1:44:26,0:04:56,12.12,,,,,,,,,,,,44.3,,3:53:39,5.27,1.091
176,10-Sep-2012,Monday,,,,,,,,,,,,,,,,,,,,1.091
177,11-Sep-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.092
178,12-Sep-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.093
179,13-Sep-2012,Thursday,10,0:51:40,0:05:10,11.61,,,,,,,,,,,,,,,,1.093
180,14-Sep-2012,Friday,,,,,,,,,,,,,,,,,,,,1.094
181,15-Sep-2012,Saturday,16,1:28:32,0:05:32,10.84,,,,,,,,,,,,,,,,1.094
182,16-Sep-2012,Sunday,,,,,,,,,,,,,,,,26,,2:20:12,5.40,1.095
183,17-Sep-2012,Monday,,,,,,,,,,,,,,,,,,,,1.095
184,18-Sep-2012,Tuesday,8,0:44:08,0:05:31,10.88,,,,,,,,,,,,,,,,1.096
185,19-Sep-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.096
186,20-Sep-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.097
187,21-Sep-2012,Friday,,,,,,,,,,,,,,,,,,,,1.097
188,22-Sep-2012,Saturday,21.24,1:45:50,0:04:58,12.04,,,,,,,,,,,,,,,,1.098
189,23-Sep-2012,Sunday,,,,,,,,,,,,,,,,29.24,,2:29:58,5.13,1.099
190,24-Sep-2012,Monday,,,,,,,,,,,,,,,,,,,,1.099
191,25-Sep-2012,Tuesday,,,,,,,,,,,,,,,,,,,,1.100
192,26-Sep-2012,Wednesday,,,,,,,,,,,,,,,,,,,,1.100
193,27-Sep-2012,Thursday,5.8,0:32:30,0:05:36,10.71,,,,,,,,,,Up Kirkeveien and around back streets,Just recovered from HM DOMS.  Still have cold,,,,,1.101
194,28-Sep-2012,Friday,,,,,,,,,,,,,,,,,,,,1.101
195,29-Sep-2012,Saturday,8.8,0:47:31,0:05:23,11.11,,,,,,,,,,Up Kirkeveien and around back streets,Still feeling weak from HM and cold.,,,,,1.102
196,30-Sep-2012,Sunday,13,1:09:09,0:05:19,11.28,,,,,,,,,,To Heggedal and back,"Took it pretty easy, felt OK.",27.6,153.44,2:29:10,5.40,1.102
197,1-Oct-2012,Monday,,,,,,,,,,,,,,,,,,,,1.103
198,2-Oct-2012,Tuesday,10.6,0:58:00,0:05:28,10.97,,,,,,,,,,Up Kirkevein via back streets to Torstadskogen,Felt pretty easy,,,,,1.103
199,3-Oct-2012,Wednesday,,,,,,,,,,,,,,,In UK,,,,,1.104
200,4-Oct-2012,Thursday,,,,,,,,,,,,,,,In UK,,,,,1.105
201,5-Oct-2012,Friday,,,,,,,,,,,,,,,In UK,,,,,1.105
202,6-Oct-2012,Saturday,,,,,,,,,,,,,,,"Sore throat, feeling crap",,,,,1.106
203,7-Oct-2012,Sunday,,,,,,,,,,,,,,,"Sore throat, feeling crap",10.6,,0:58:00,5.47,1.106
204,8-Oct-2012,Monday,,,,,,,,,,,,,,,"Headache all day, felt awful",,,,,1.107
205,9-Oct-2012,Tuesday,11,0:58:34,0:05:19,11.27,,,,,,,,,,Towards Heggedal,"Feel much better, run felt OK",,,,,1.107
206,10-Oct-2012,Wednesday,7.5,0:44:28,0:05:55,10.12,,,,,,,,,,Up Kirkeveien past Asker Museum,"Nice and easy, except for the killer hill",,,,,1.108
207,11-Oct-2012,Thursday,,,,,,,,,,,,,,,Mommo's funeral,,,,,1.108
208,12-Oct-2012,Friday,8.6,0:45:20,0:05:16,11.38,,,,,,,,,,"Semsveien, Semsvann (past bridge), Kirkeveien",Easy 15 minutes then pushed harder,,,,,1.109
209,13-Oct-2012,Saturday,,,,,,,,,,,,,,,"24x7, did 3x20 push ups",,,,,1.110
210,14-Oct-2012,Sunday,,,,,,,,,,,,,,,"Cold, rain. 50 laps of the pool and cycled there and back.",27.1,,2:28:22,5.47,1.110
211,15-Oct-2012,Monday,,,,,,,,,,,,,,,,,,,,1.111
212,16-Oct-2012,Tuesday,8.2,0:44:30,0:05:25,11.06,,,,,,,,,,"2 loops, up Kirkeveien and down to Bleiker",First 30 mins easy then pushed a bit harder,,,,,1.111
213,17-Oct-2012,Wednesday,11,1:02:11,0:05:39,10.61,,,,,,,,,,Torstadskogen,Easy,,,,,1.112
214,18-Oct-2012,Thursday,8.6,0:46:41,0:05:25,11.05,,,,,,,,,,"2 loops, Risenga, Asker Museum",Pretty easy,,,,,1.112
215,19-Oct-2012,Friday,,,,,,,,,,,,,,,,,,,,1.113
216,20-Oct-2012,Saturday,,,,,,,,,,,,,,,Rained all day; gym not open yet,,,,,1.113
217,21-Oct-2012,Sunday,16.4,1:27:00,0:05:18,11.31,165,151,0.92%,,12.64,13.33,1:40:37,1:35:30,3:32:21,Heggedal,"Comfortable pace, even effort",44.2,,4:00:22,5.43,1.114
218,22-Oct-2012,Monday,,,,,,,,,,,,,,,,,,,,1.115
219,23-Oct-2012,Tuesday,,,,,,,,,,,,,,,Too busy before trip to UK,,,,,1.115
220,24-Oct-2012,Wednesday,,,,,,,,,,,,,,,In UK,,,,,1.116
221,25-Oct-2012,Thursday,,,,,,,,,,,,,,,,,,,,1.116
222,26-Oct-2012,Friday,,,,,,,,,,,,,,,,,,,,1.117
223,27-Oct-2012,Saturday,,,,,,,,,,,,,,,No time to run. 60 mins on ex bike,,,,,1.117
224,28-Oct-2012,Sunday,,,,,,,,,,,,,,,"Too cold, 60 mins on ex bike",0,,0,#DIV/0!,1.118
225,29-Oct-2012,Monday,,,,,,,,,,,,,,,,,,,,1.118
226,30-Oct-2012,Tuesday,7.2,0:41:22,0:05:44,10.44,167,70,0.97%,,11.40,12.13,1:51:13,1:44:59,3:54:37,Towards Risenga then Kirkeveien/Semsveien loop,Snow and ice!,,,,,1.119
