,,,,,,,,,,Fitness,Fitness,Fitness,Predicted,Predicted,Predicted,,,,,,,,,,,,,,,,
Day,Date,DoW,Dist,Time,Pace,Speed,HR,Elevation gain,Avg gradient,Indoor,Outdoor,Corrected,Hastings,Oslo,Holmestrand,Route,Notes,Actual km,Month,Week time,Actual pace,Plan time,Plan pace,Plan distance,Plan km,Pmth,Index,TimeWk,plan pace,RHR,Max km
,26-Aug-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.182,,,,
,27-Aug-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.182,,,,
,28-Aug-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.183,,,,
,29-Aug-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.183,,,,
,30-Aug-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.184,,,,
,31-Aug-2014,Sunday,,,,,,,,,,,,,,,,0,0,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,1.185,#VALUE!,#VALUE!,,0
,1-Sep-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.185,,,,
,2-Sep-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.186,,,,
,3-Sep-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.186,,,,
,4-Sep-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.187,,,,
,5-Sep-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.188,,,,
,6-Sep-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.188,,,,
,7-Sep-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.189,#VALUE!,#VALUE!,,0
,8-Sep-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.189,,,,
,9-Sep-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.190,,,,
,10-Sep-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.191,,,,
,11-Sep-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.191,,,,
,12-Sep-2014,Friday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.192,,,,
,13-Sep-2014,Saturday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.192,,,,
,14-Sep-2014,Sunday,,,,,,,,,,,,,,,,0,,0,#DIV/0!,#VALUE!,#VALUE!,#VALUE!,#VALUE!,,1.193,#VALUE!,#VALUE!,,0
,15-Sep-2014,Monday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.194,,,,
,16-Sep-2014,Tuesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.194,,,,
,17-Sep-2014,Wednesday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.195,,,,
,18-Sep-2014,Thursday,,,,,,,,,,,,,,,,,,,,#VALUE!,#VALUE!,#VALUE!,,,1.195,,,,
